1505k  1.70.35.72:8083
1216k  1.70.35.72:8085
1056k  1.70.35.72:8082
1055k  110.178.52.111:8083
1054k  110.178.52.100:8085
1053k  110.178.52.100:8083
1043k  110.178.52.60:8082
1041k  110.178.52.60:8084
1041k  110.178.52.60:8083
1041k  110.178.52.111:8085
1041k  110.178.52.111:8084
1040k  110.178.52.111:8082
1037k  110.178.52.60:8085
1031k  110.178.52.100:8082
1026k  1.70.35.72:8084
1025k  110.178.52.100:8084
928k  123.175.210.165:8085
905k  123.175.210.165:8083
905k  123.175.210.165:8082
863k  123.175.210.165:8084
