2204k  125.125.180.16:9162
2198k  125.125.180.16:1720
2198k  125.125.180.16:161
2196k  125.125.180.16:1452
2183k  125.125.180.16:9999
2179k  125.125.180.16:44305
2179k  125.125.180.16:3095
2173k  125.125.180.16:9183
2171k  125.125.180.16:18083
2161k  125.125.180.16:7000
2153k  220.189.89.184:9999
2153k  125.125.180.16:8888
2146k  125.125.180.16:20000
2143k  125.125.180.16:8889
2143k  125.125.180.16:25005
2138k  125.125.180.16:8848
2135k  125.125.180.16:1951
2118k  125.125.180.16:50060
2116k  125.125.180.16:7443
2102k  125.125.180.16:58888
1917k  125.125.180.16:49671
1892k  125.125.180.16:3097
1696k  115.230.248.36:9999
1542k  60.189.41.143:9999
446k  36.25.100.192:9999
